득점,경기,승,패,무,승률,시즌,실점,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,이닝,리드,Unnamed: 2,동점,Unnamed: 4,열세,Unnamed: 6,"('시작', '끝')","('전체', '종 합')","('전체', '리 드')","('전체', '동 점')","('전체', '열 세')","('리드', '종 합')","('리드', '리 드')","('리드', '동 점')","('리드', '열 세')","('동점', '종 합')","('동점', '리 드')","('동점', '동 점')","('동점', '열 세')","('열세', '종 합')","('열세', '리 드')","('열세', '동 점')","('열세', '열 세')","('시즌', '')"
,,,,,,2012.0,,,,,,,,,,,,3.0,28-2-1 (0.933),0.933,27-28-2 (0.491),0.491,13-32-0 (0.289),0.289,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,4.0,39-4-2 (0.907),0.907,13-22-1 (0.371),0.371,16-36-0 (0.308),0.308,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,5.0,41-6-2 (0.872),0.872,12-13-0 (0.480),0.48,15-43-1 (0.259),0.259,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,6.0,49-8-2 (0.860),0.86,8-8-0 (0.500),0.5,11-46-1 (0.193),0.193,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,7.0,50-5-2 (0.909),0.909,8-5-0 (0.615),0.615,10-51-1 (0.164),0.164,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,8.0,53-3-2 (0.946),0.946,9-5-0 (0.643),0.643,6-53-1 (0.102),0.102,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,9.0,55-1-0 (0.982),0.982,8-4-0 (0.667),0.667,5-56-3 (0.082),0.082,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,10.0,,,6-3-3 (0.667),0.667,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,11.0,,,2-3-3 (0.400),0.4,,,,,,,,,,,,,,,,,,,,
,,,,,,2012.0,,,,,,,,,,,,12.0,,,2-1-3 (0.667),0.667,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1회,133.0,23.0,81.0,29.0,,,,,133.0,23.0,81.0,29.0,,,,,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,2회,133.0,31.0,57.0,45.0,23.0,18.0,2.0,3.0,81.0,12.0,53.0,16.0,29.0,1.0,2.0,26.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,3회,133.0,45.0,36.0,52.0,31.0,30.0,1.0,0.0,57.0,14.0,32.0,11.0,45.0,1.0,3.0,41.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,4회,133.0,49.0,25.0,59.0,45.0,41.0,2.0,2.0,36.0,6.0,16.0,14.0,52.0,2.0,7.0,43.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,5회,133.0,59.0,16.0,58.0,49.0,45.0,1.0,3.0,25.0,7.0,12.0,6.0,59.0,7.0,3.0,49.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,6회,132.0,57.0,13.0,62.0,59.0,52.0,3.0,4.0,16.0,2.0,7.0,7.0,57.0,3.0,3.0,51.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,7회,132.0,58.0,14.0,60.0,57.0,54.0,0.0,3.0,13.0,3.0,10.0,0.0,62.0,1.0,4.0,57.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,8회,132.0,56.0,12.0,64.0,58.0,52.0,1.0,5.0,14.0,3.0,8.0,3.0,60.0,1.0,3.0,56.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,9회,82.0,36.0,12.0,34.0,30.0,27.0,2.0,1.0,12.0,6.0,5.0,1.0,40.0,3.0,5.0,32.0,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,10회,12.0,4.0,8.0,0.0,,,,,12.0,4.0,8.0,0.0,,,,,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,11회,8.0,0.0,6.0,2.0,,,,,8.0,0.0,6.0,2.0,,,,,2012.0
,,,,,,,,,,,,,,,,,,,,,,,,,12회,6.0,2.0,3.0,1.0,,,,,6.0,2.0,3.0,1.0,,,,,2012.0
0.0,4.0,0.0,4.0,0.0,0.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,8.0,0.0,8.0,0.0,0.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,14.0,3.0,11.0,0.0,0.214,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,15.0,3.0,11.0,1.0,0.214,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,11.0,6.0,4.0,1.0,0.6,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,17.0,8.0,9.0,0.0,0.471,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,17.0,11.0,5.0,1.0,0.688,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,12.0,11.0,1.0,0.0,0.917,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,9.0,9.0,0.0,0.0,1.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,8.0,8.0,0.0,0.0,1.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,7.0,7.0,0.0,0.0,1.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,2.0,1.0,1.0,0.0,0.5,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,1.0,1.0,0.0,0.0,1.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,3.0,3.0,0.0,0.0,1.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.0,8.0,0.0,0.0,1.0,2013.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,10.0,1.0,0.0,0.909,2013.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.0,12.0,1.0,0.0,0.923,2013.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.0,9.0,5.0,1.0,0.643,2013.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.0,14.0,6.0,1.0,0.7,2013.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,6.0,5.0,0.0,0.545,2013.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.0,5.0,7.0,1.0,0.417,2013.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,5.0,6.0,0.0,0.455,2013.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,1.0,10.0,0.0,0.091,2013.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,0.0,4.0,0.0,0.0,2013.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,0.0,3.0,0.0,0.0,2013.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2013.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,0.0,0.0,1.0,2013.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,0.0,2.0,0.0,0.0,2013.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2013.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2013.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,1.0,0.0,0.0,2013.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,1.0,79.0,49.0,24.0,12.0,6.0,6.0,1.0,9.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,2.0,85.0,43.0,20.0,11.0,5.0,4.0,3.0,5.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,3.0,84.0,44.0,23.0,9.0,7.0,2.0,3.0,7.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,4.0,90.0,38.0,22.0,9.0,3.0,3.0,1.0,5.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,5.0,87.0,41.0,20.0,12.0,6.0,1.0,2.0,6.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,6.0,93.0,35.0,20.0,9.0,3.0,2.0,1.0,5.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,7.0,84.0,44.0,22.0,12.0,9.0,1.0,0.0,4.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,8.0,84.0,44.0,21.0,17.0,2.0,1.0,3.0,7.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,9.0,70.0,26.0,14.0,5.0,4.0,2.0,1.0,7.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,10.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,11.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,1.0,75.0,53.0,26.0,14.0,8.0,4.0,1.0,6.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,2.0,99.0,29.0,13.0,10.0,5.0,0.0,1.0,5.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,3.0,100.0,28.0,14.0,4.0,6.0,2.0,2.0,5.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,4.0,97.0,31.0,10.0,10.0,5.0,1.0,5.0,7.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,5.0,90.0,38.0,24.0,9.0,2.0,1.0,2.0,8.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,6.0,97.0,31.0,12.0,5.0,7.0,5.0,2.0,6.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,7.0,93.0,35.0,19.0,10.0,3.0,1.0,2.0,5.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,8.0,83.0,45.0,21.0,15.0,6.0,0.0,3.0,6.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,9.0,79.0,25.0,14.0,5.0,2.0,3.0,1.0,5.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,10.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,11.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,1.0,,,71-54-3 (0.568),0.568,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,2.0,26-10-0 (0.722),0.722,26-23-1 (0.531),0.531,19-21-2 (0.475),0.475,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,3.0,37-13-0 (0.740),0.74,19-17-1 (0.528),0.528,15-24-2 (0.385),0.385,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,4.0,49-12-0 (0.803),0.803,14-14-2 (0.500),0.5,8-28-1 (0.222),0.222,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,5.0,46-9-1 (0.836),0.836,18-10-1 (0.643),0.643,7-35-1 (0.167),0.167,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,6.0,52-8-0 (0.867),0.867,13-12-1 (0.520),0.52,6-34-2 (0.150),0.15,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,7.0,56-8-1 (0.875),0.875,7-5-1 (0.583),0.583,8-41-1 (0.163),0.163,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,8.0,62-4-2 (0.939),0.939,6-5-0 (0.545),0.545,3-45-1 (0.063),0.063,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,9.0,62-2-1 (0.969),0.969,7-4-2 (0.636),0.636,2-48-0 (0.040),0.04,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,10.0,,,6-3-3 (0.667),0.667,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,11.0,,,4-2-3 (0.667),0.667,,,,,,,,,,,,,,,,,,,,
,,,,,,2013.0,,,,,,,,,,,,12.0,,,0-1-3 (0.000),0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1회,128.0,36.0,50.0,42.0,,,,,128.0,36.0,50.0,42.0,,,,,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,2회,128.0,50.0,37.0,41.0,36.0,31.0,4.0,1.0,50.0,13.0,28.0,9.0,42.0,6.0,5.0,31.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,3회,128.0,61.0,30.0,37.0,50.0,45.0,4.0,1.0,37.0,10.0,23.0,4.0,41.0,6.0,3.0,32.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,4회,128.0,56.0,29.0,43.0,61.0,51.0,5.0,5.0,30.0,5.0,22.0,3.0,37.0,0.0,2.0,35.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,5회,128.0,60.0,26.0,42.0,56.0,51.0,4.0,1.0,29.0,8.0,18.0,3.0,43.0,1.0,4.0,38.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,6회,128.0,65.0,13.0,50.0,60.0,57.0,1.0,2.0,26.0,8.0,10.0,8.0,42.0,0.0,2.0,40.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,7회,128.0,68.0,11.0,49.0,65.0,60.0,3.0,2.0,13.0,4.0,7.0,2.0,50.0,4.0,1.0,45.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,8회,128.0,65.0,13.0,50.0,68.0,62.0,6.0,0.0,11.0,2.0,6.0,3.0,49.0,1.0,1.0,47.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,9회,72.0,33.0,12.0,27.0,33.0,28.0,3.0,2.0,13.0,3.0,8.0,2.0,26.0,2.0,1.0,23.0,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,10회,12.0,2.0,9.0,1.0,,,,,12.0,2.0,9.0,1.0,,,,,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,11회,9.0,4.0,4.0,1.0,,,,,9.0,4.0,4.0,1.0,,,,,2013.0
,,,,,,,,,,,,,,,,,,,,,,,,,12회,4.0,0.0,3.0,1.0,,,,,4.0,0.0,3.0,1.0,,,,,2013.0
0.0,7.0,0.0,7.0,0.0,0.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12.0,0.0,12.0,0.0,0.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,16.0,3.0,13.0,0.0,0.188,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,12.0,2.0,9.0,1.0,0.182,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,13.0,6.0,7.0,0.0,0.462,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,6.0,4.0,0.0,0.6,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,16.0,10.0,6.0,0.0,0.625,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,10.0,6.0,4.0,0.0,0.6,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,5.0,3.0,0.0,0.625,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,5.0,5.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,6.0,3.0,3.0,0.0,0.5,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,4.0,4.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,3.0,3.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,1.0,1.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,1.0,1.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,3.0,3.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.0,1.0,0.0,0.0,1.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,2.0,0.0,0.0,1.0,2014.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.0,15.0,1.0,0.0,0.938,2014.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.0,10.0,4.0,0.0,0.714,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.0,8.0,4.0,1.0,0.667,2014.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0,5.0,6.0,0.0,0.455,2014.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.0,5.0,7.0,0.0,0.417,2014.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
